datetime,date,hour,timestamp,total_stocks,sma20_breadth,sma50_breadth,volume_breadth,volume_participation,market_regime
2025-08-28 09:15:00,2025-08-28,9,2025-08-28T09:15:00,87,0.0,0.0,0.0,0.0,Bearish
2025-08-28 10:15:00,2025-08-28,10,2025-08-28T10:15:00,87,55.17,55.17,10.34,0.06,Neutral
2025-08-28 11:15:00,2025-08-28,11,2025-08-28T11:15:00,87,24.14,24.14,6.9,0.04,Bearish
2025-08-28 12:15:00,2025-08-28,12,2025-08-28T12:15:00,87,11.49,11.49,6.9,0.04,Bearish
2025-08-28 13:15:00,2025-08-28,13,2025-08-28T13:15:00,87,11.49,11.49,11.49,0.08,Bearish
2025-08-28 14:15:00,2025-08-28,14,2025-08-28T14:15:00,87,8.05,8.05,59.77,0.69,Bearish
2025-08-28 15:15:00,2025-08-28,15,2025-08-28T15:15:00,87,4.6,4.6,11.49,0.08,Bearish
2025-08-29 09:15:00,2025-08-29,9,2025-08-29T09:15:00,87,12.64,12.64,82.76,1.38,Bearish
2025-08-29 10:15:00,2025-08-29,10,2025-08-29T10:15:00,87,48.28,48.28,35.63,0.35,Neutral
2025-08-29 11:15:00,2025-08-29,11,2025-08-29T11:15:00,87,51.72,51.72,5.75,0.02,Neutral
